row ID,row m/z,row retention time,오미자 중국1,오미자 중국2,오미자 중국3,오미자 중국4,오미자 중국5,오미자 중국6,오미자 중국7,오미자 중국8,오미자 중국9,오미자 중국10,오미자 중국11,오미자 중국12,오미자 중국13,오미자 중국14,오미자 중국15,오미자 중국16,오미자 중국17,오미자 중국18,오미자 중국19,오미자 중국20,오미자 중국21,오미자 중국22,오미자 중국23,오미자 중국24,오미자 중국25,오미자 중국26,오미자 중국27,오미자 한국1,오미자 한국2,오미자 한국3,오미자 한국4,오미자 한국5,오미자 한국6,오미자 한국7,오미자 한국8,오미자 한국9,오미자 한국10,오미자 한국11,오미자 한국12,오미자 한국13,오미자 한국14,오미자 한국15,오미자 한국16,오미자 한국17,오미자 한국18,오미자 한국19,오미자 한국20,오미자 한국21,오미자 한국22,오미자 한국23,오미자 한국24,오미자 한국25,오미자 한국26,오미자 한국27,오미자 한국28,오미자 한국29,오미자 한국30
51,105.0596861,39.35116325,905182.3,0,0,0,0,0,228281.589,0,296041.789,216961.5,165222.549,199619.461,0,0,468384.504,0,139445.912,148968.742,0,173205.27,0,177603.204,0,146728.287,315049.099,230976.789,482869.169,879603.493,518007.345,499195.257,747294.331,733618.34,0,0,721047.279,807589.179,801337.187,286857.09,0,811111.646,674972.743,809641.062,0,0,731066.239,382999.866,930432.357,742180.375,888517.698,930816.858,902029.345,859887.578,730855.947,522887.665,695676.967,0,868983.877
52,105.0640704,68.35822361,0,0,0,102327.812,128383.387,0,0,145590.193,156493.273,0,183185.227,0,0,0,0,0,109775.316,0,0,162032.644,0,0,0,162894.888,0,228315.673,0,0,0,0,0,0,0,0,0,0,0,0,117865.049,0,0,0,0,197498.011,0,0,0,0,0,0,0,0,0,0,0,131677.852,0
53,111.0041809,32.4994625,0,218788.709,158746.513,127417.298,0,0,0,0,110252.511,0,140108.202,0,0,0,0,0,187058.598,0,221924.727,0,0,0,0,215465.671,0,194841.409,168401.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160556.464,167649.266,158944.68,180145.07,149131.965,192499.56
54,115.0452785,32.4994625,0,216491.885,159107.521,130935.186,0,0,0,0,127022.31,0,140676.778,0,0,0,0,0,185904.934,0,221906.783,0,0,0,0,222364.368,0,193351.401,170819.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162838.088,166738.282,164902.111,178323.814,151003.941,190546.656
55,115.0488633,33.60920256,0,0,120401.129,98994.984,0,0,0,0,95465.353,146706.217,111182.265,0,0,0,0,0,0,0,105266.754,0,0,0,0,114324.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139103.969,141870.737,129856.888,139109.551,136594.797,161876.289
56,116.0389953,8.4028125,0,0,0,0,0,291514.281,0,0,151031.041,82734.108,190585.666,120654.188,88012.356,288447.888,0,149522.1,208395.316,245685.682,0,290965.57,0,0,0,295408.785,283540.076,0,0,108690.347,0,157565.313,0,206913.841,0,0,173462.586,185889.986,0,153928.404,0,134367.649,136968.923,130649.234,0,0,189805.529,158680.409,0,0,185569.434,87201.522,145950.952,81557.625,91988.628,247196.874,159921.17,0,200804.298
57,117.0218673,38.36688902,1704011.798,174077.061,367563.91,371695.568,138363.31,168192.24,0,169196.711,0,294084.038,283639.658,359894.946,1519793.067,205576.279,853261.977,139923.55,206341.991,294952.965,0,264408.751,143858.551,244012.709,188602.231,215233.567,735065.258,353298.46,715642.362,0,764716.569,864952.033,1300465.388,1329603.503,1316776.134,1190592.128,1232661.095,1395674.582,0,0,0,0,0,0,0,0,0,0,1374430.807,0,1532130.226,0,1542616.007,1373843.751,1183685.944,746150.65,1016873.367,897735.056,1496619.765
58,117.0239743,38.8039337,1248009.917,0,1398969.168,1283625.808,0,0,266379.764,0,326891.388,200669.692,175197.724,244668.931,1119488.741,137960.7,575631.93,0,0,200047.786,203564.981,166880.382,0,153703.972,0,0,464230.328,223915.571,453412.49,1088712.803,632893.098,662666.296,1094469.347,936874.392,1276141.208,0,918710.32,1094096.595,1025594.754,327482.483,896776.84,1163252.543,865097.382,1163295.821,0,0,985982.319,480851.314,1177177.522,996629.973,1284636.433,1378590.305,1332962.169,1156714.892,890723.58,516770.4,800250.44,613851.017,1278850.073
59,129.0591717,32.48808056,0,561383.965,441470.428,367761.933,0,0,146725.633,0,310121.918,0,396337.943,185998.665,0,0,0,0,488987.701,0,574858.43,0,0,260493.111,0,571096.232,0,508005.029,461998.933,143707.064,0,0,0,0,244574.754,221275.584,0,0,187794.262,222333.209,183032.017,172100.417,151830.417,237106.415,0,0,182600.84,0,0,0,0,0,0,0,471398.743,0,0,0,0
60,129.0657527,33.60965972,0,0,113812.185,87290.129,0,0,0,0,90104.721,140535.961,99917.154,0,0,0,0,0,0,0,0,0,0,0,0,110391.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136315.753,137638.969,123678.264,134661.423,134248.821,158606.297
